Indicator,Total_Signals,Correct_Signals,False_Signals,Accuracy,Lead_Count,Lag_Count,Lead_Ratio,Lag_Ratio,Avg_Lead_Days,Avg_Lag_Days
McClellan Volume Oscillator,82,51,31,62.19512195121951,19,32,23.170731707317074,39.02439024390244,6.842105263157895,3.84375
McClellan Oscillator,82,50,32,60.97560975609756,19,31,23.170731707317074,37.80487804878049,6.842105263157895,3.903225806451613
On-Balance Volume (OBV),19,11,8,57.89473684210527,5,6,26.31578947368421,31.57894736842105,10.2,4.333333333333333
MACD Signal Positive-Negative,44,22,22,50.0,9,13,20.454545454545457,29.545454545454547,8.88888888888889,5.076923076923077
RSI Positive-Negative,60,30,30,50.0,16,14,26.666666666666668,23.333333333333332,4.75,7.071428571428571
MACD Positive-Negative,22,11,11,50.0,2,9,9.090909090909092,40.909090909090914,4.5,4.888888888888889
Advance/Decline Volume Ratio,221,110,111,49.7737556561086,41,69,18.552036199095024,31.221719457013574,7.829268292682927,5.695652173913044
Price Rate of Change (ROC),75,37,38,49.333333333333336,16,21,21.333333333333336,28.000000000000004,6.1875,5.285714285714286
Stochastic Oscillator Trend,195,94,101,48.205128205128204,41,53,21.025641025641026,27.17948717948718,6.048780487804878,5.811320754716981
Volume Price Trend (VPT),44,21,23,47.72727272727273,9,12,20.454545454545457,27.27272727272727,4.0,5.583333333333333
ATR Trend,204,97,107,47.549019607843135,42,55,20.588235294117645,26.96078431372549,5.357142857142857,5.636363636363637
EMA Golden Cross,28,11,17,39.285714285714285,5,6,17.857142857142858,21.428571428571427,5.6,9.0
New High-Low (Month),188,69,119,36.702127659574465,20,49,10.638297872340425,26.063829787234045,6.05,4.469387755102041
New High-Low (Quarter),177,56,121,31.63841807909605,13,43,7.344632768361582,24.293785310734464,4.461538461538462,5.116279069767442
New High-Low (Year),97,25,72,25.773195876288657,6,19,6.185567010309279,19.587628865979383,4.833333333333333,4.368421052631579
